,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA']","['SEA', 'SEA', 'SEA']"
AL,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
AR,,,,,[],[],,[],[],,[],[],,,,[],[],,,[],[],[],[],[],[],[],[],[],,[],[],,,,,[],[],[],[],[],,[],,[],[],[],[],,[],[],[],[],[],[],,[],[],[],[],,[],[],[],[],[],
AS,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
AZ,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV']","['HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV', 'HOU', 'TLV', 'SDF', 'BTV']"
CA,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'MSP', 'WAS', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAX', 'LAS', 'CHI', 'BLR', 'SIN', 'SNA', 'IST']","['SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST', 'SEA', 'WAS', 'MSP', 'PAR', 'MBJ', 'SJO', 'NYC', 'LON', 'SFO', 'MAD', 'BOM', 'BCN', 'MIL', 'MRS', 'IEV', 'DOH', 'LAS', 'LAX', 'CHI', 'BLR', 'SIN', 'SNA', 'IST']"
CO,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA']","['SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA', 'SEA', 'BOS', 'MSY', 'PVR', 'CHS', 'MBJ', 'AUA']"
CT,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,[],[],,[],,,,[],[],,[],,[],,,,[],[],[],[],[],,,[],,
DE,,,,,,,,,,[],,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],,[],,[],[],,,,[],,[],[],,,,[],[],[],[],,,[],,
