state,Poverty,fyDeclared
AL,15,2017
AK,14.4,2017
AZ,13.2,2017
AR,14.8,2017
CA,12.4,2017
CO,7.7,2017
CT,10.9,2017
DE,9.2,2017
DC,13.6,2017
FL,13.7,2017
GA,13.3,2017
HI,10.3,2017
ID,11.7,2017
IL,10.9,2017
IN,11.4,2017
IA,9.1,2017
KS,14.7,2017
KY,14.4,2017
LA,21.4,2017
ME,12,2017
MD,7.8,2017
MA,10.6,2017
MI,12.7,2017
MN,9.2,2017
MS,18.3,2017
MO,11.1,2017
MT,9.7,2017
NE,10.4,2017
NV,13.7,2017
NH,6.6,2017
NJ,8.6,2017
NM,18.6,2017
NY,13.4,2017
NC,14.5,2017
ND,11.3,2017
OH,12.7,2017
OK,12.6,2017
OR,10.2,2017
PA,11.2,2017
RI,12.2,2017
SC,15.6,2017
SD,10.4,2017
TN,11.5,2017
TX,13.4,2017
UT,8.6,2017
VT,10.2,2017
VA,10.3,2017
WA,9.9,2017
WV,17.3,2017
WI,9.5,2017
WY,12.4,2017
AL,16.2,2016
AK,12.6,2016
AZ,16.1,2016
AR,16,2016
CA,13.9,2016
CO,8.5,2016
CT,9.8,2016
DE,11.6,2016
DC,16.3,2016
FL,13,2016
GA,15.4,2016
HI,9.3,2016
ID,11.1,2016
IL,12.1,2016
IN,11.8,2016
IA,9.8,2016
KS,11.2,2016
KY,15.2,2016
LA,20.2,2016
ME,12.7,2016
MD,7.1,2016
MA,9.6,2016
MI,11.1,2016
MN,8.7,2016
MS,21.1,2016
MO,13,2016
MT,11.7,2016
NE,9.6,2016
NV,10.1,2016
NH,6.4,2016
NJ,9.4,2016
NM,17.8,2016
NY,11.9,2016
NC,13.6,2016
ND,11.1,2016
OH,13.7,2016
OK,14.6,2016
OR,11.8,2016
PA,11.1,2016
RI,11.4,2016
SC,14.1,2016
SD,14.5,2016
TN,14.9,2016
TX,13.8,2016
UT,8.6,2016
VT,9.6,2016
VA,11.4,2016
WA,11,2016
WV,18,2016
WI,10.7,2016
WY,10.9,2016
AL,16.3,2015
AK,9.2,2015
AZ,17.2,2015
AR,16.1,2015
CA,13.9,2015
CO,9.9,2015
CT,9.1,2015
DE,11.1,2015
DC,16.6,2015
FL,16.2,2015
GA,18.1,2015
HI,10.9,2015
ID,12.3,2015
IL,10.9,2015
IN,13.5,2015
IA,10.4,2015
KS,14.2,2015
KY,19.5,2015
LA,18.6,2015
ME,12.3,2015
MD,9.6,2015
MA,11.5,2015
MI,12.8,2015
MN,7.8,2015
MS,19.1,2015
MO,9.8,2015
MT,11.9,2015
NE,10.3,2015
NV,13,2015
NH,7.3,2015
NJ,11.2,2015
NM,19.7,2015
NY,14.2,2015
NC,15.3,2015
ND,10.7,2015
OH,13.6,2015
OK,14.2,2015
OR,11.9,2015
PA,12.3,2015
RI,11.8,2015
SC,14.3,2015
SD,13.9,2015
TN,14.7,2015
TX,14.7,2015
UT,9.3,2015
VT,10.7,2015
VA,10.9,2015
WA,11.4,2015
WV,14.5,2015
WI,11.4,2015
WY,9.8,2015
AL,17.8,2014
AK,11.9,2014
AZ,21.2,2014
AR,18.4,2014
CA,15.8,2014
CO,12.3,2014
CT,8.6,2014
DE,11,2014
DC,19,2014
FL,16.7,2014
GA,16.8,2014
HI,10.8,2014
ID,12.4,2014
IL,13.7,2014
IN,14.6,2014
IA,10.3,2014
KS,12.1,2014
KY,20,2014
LA,23.1,2014
ME,14.6,2014
MD,9.8,2014
MA,13.6,2014
MI,14.8,2014
MN,8.3,2014
MS,22.1,2014
MO,10.4,2014
MT,12,2014
NE,11.8,2014
NV,17,2014
NH,7.2,2014
NJ,11.3,2014
NM,20,2014
NY,14,2014
NC,17.1,2014
ND,9.7,2014
OH,15.6,2014
OK,17.3,2014
OR,14.4,2014
PA,12.5,2014
RI,11.3,2014
SC,16.5,2014
SD,12.8,2014
TN,17.3,2014
TX,16.4,2014
UT,10.2,2014
VT,9.3,2014
VA,10.2,2014
WA,12,2014
WV,20.6,2014
WI,10.9,2014
WY,9.7,2014
AL,16.7,2013
AK,10.9,2013
AZ,20.2,2013
AR,17.1,2013
CA,14.9,2013
CO,10.6,2013
CT,11.3,2013
DE,14,2013
DC,21.3,2013
FL,14.9,2013
GA,16.3,2013
HI,11.1,2013
ID,12.9,2013
IL,13.3,2013
IN,11.6,2013
IA,10.8,2013
KS,13.2,2013
KY,20,2013
LA,19.2,2013
ME,12.3,2013
MD,10.3,2013
MA,11.9,2013
MI,14.5,2013
MN,12,2013
MS,22.5,2013
MO,13.7,2013
MT,14.5,2013
NE,11,2013
NV,17.4,2013
NH,9,2013
NJ,11.1,2013
NM,21.7,2013
NY,14.5,2013
NC,18.6,2013
ND,9.9,2013
OH,13.7,2013
OK,14,2013
OR,15.1,2013
PA,12.4,2013
RI,13.5,2013
SC,15.9,2013
SD,10.3,2013
TN,18.1,2013
TX,16.8,2013
UT,8.3,2013
VT,8.7,2013
VA,10.4,2013
WA,12,2013
WV,17.3,2013
WI,11,2013
WY,11.8,2013
AL,16.2,2012
AK,10,2012
AZ,19,2012
AR,20.1,2012
CA,15.9,2012
CO,11.9,2012
CT,10.3,2012
DE,13.5,2012
DC,18.4,2012
FL,15.3,2012
GA,18.1,2012
HI,13.8,2012
ID,14.4,2012
IL,12.6,2012
IN,15.2,2012
IA,10.3,2012
KS,14,2012
KY,17.9,2012
LA,21.1,2012
ME,12.8,2012
MD,9.9,2012
MA,11.3,2012
MI,13.7,2012
MN,10,2012
MS,22,2012
MO,15.2,2012
MT,13.4,2012
NE,12.2,2012
NV,15.8,2012
NH,8.1,2012
NJ,9.3,2012
NM,20.4,2012
NY,17.2,2012
NC,17.2,2012
ND,11.4,2012
OH,15.4,2012
OK,18,2012
OR,13.5,2012
PA,13.9,2012
RI,13.6,2012
SC,16.7,2012
SD,12.8,2012
TN,18.6,2012
TX,17,2012
UT,11,2012
VT,11.2,2012
VA,10.6,2012
WA,11.6,2012
WV,16.7,2012
WI,11.4,2012
WY,9.6,2012
AL,15.4,2011
AK,11.7,2011
AZ,17.2,2011
AR,18.7,2011
CA,16.9,2011
CO,13.2,2011
CT,10.1,2011
DE,13.7,2011
DC,19.9,2011
FL,14.9,2011
GA,18.4,2011
HI,12.1,2011
ID,15.7,2011
IL,14.2,2011
IN,15.6,2011
IA,10.4,2011
KS,14.3,2011
KY,16,2011
LA,21.1,2011
ME,13.4,2011
MD,9.3,2011
MA,10.6,2011
MI,15,2011
MN,10,2011
MS,17.4,2011
MO,15.4,2011
MT,16.5,2011
NE,10.2,2011
NV,15.5,2011
NH,7.6,2011
NJ,11.4,2011
NM,22.2,2011
NY,16,2011
NC,15.4,2011
ND,9.9,2011
OH,15.1,2011
OK,13.9,2011
OR,14.4,2011
PA,12.6,2011
RI,13.4,2011
SC,19,2011
SD,14.5,2011
TN,16.3,2011
TX,17.4,2011
UT,11,2011
VT,11.6,2011
VA,11.4,2011
WA,12.5,2011
WV,17.5,2011
WI,13.1,2011
WY,10.7,2011
AL,17.2,2010
AK,12.5,2010
AZ,18.8,2010
AR,15.3,2010
CA,16.3,2010
CO,12.3,2010
CT,8.6,2010
DE,12.2,2010
DC,19.5,2010
FL,16,2010
GA,18.8,2010
HI,12.4,2010
ID,13.8,2010
IL,14.1,2010
IN,16.3,2010
IA,10.3,2010
KS,14.5,2010
KY,17.7,2010
LA,21.5,2010
ME,12.6,2010
MD,10.9,2010
MA,10.9,2010
MI,15.7,2010
MN,10.8,2010
MS,22.5,2010
MO,15,2010
MT,14.5,2010
NE,10.2,2010
NV,16.6,2010
NH,6.5,2010
NJ,11.1,2010
NM,18.3,2010
NY,16,2010
NC,17.4,2010
ND,12.6,2010
OH,15.4,2010
OK,16.3,2010
OR,14.3,2010
PA,12.2,2010
RI,14,2010
SC,16.9,2010
SD,13.6,2010
TN,16.7,2010
TX,18.4,2010
UT,10,2010
VT,10.8,2010
VA,10.7,2010
WA,11.6,2010
WV,16.8,2010
WI,10.1,2010
WY,9.6,2010
AL,17.2,2009
AK,12.5,2009
AZ,18.8,2009
AR,15.3,2009
CA,16.3,2009
CO,12.3,2009
CT,8.6,2009
DE,12.2,2009
DC,19.5,2009
FL,16,2009
GA,18.8,2009
HI,12.4,2009
ID,13.8,2009
IL,14.1,2009
IN,16.3,2009
IA,10.3,2009
KS,14.5,2009
KY,17.7,2009
LA,21.5,2009
ME,12.6,2009
MD,10.9,2009
MA,10.9,2009
MI,15.7,2009
MN,10.8,2009
MS,22.5,2009
MO,15,2009
MT,14.5,2009
NE,10.2,2009
NV,16.6,2009
NH,6.5,2009
NJ,11.1,2009
NM,18.3,2009
NY,16,2009
NC,17.4,2009
ND,12.6,2009
OH,15.4,2009
OK,16.3,2009
OR,14.3,2009
PA,12.2,2009
RI,14,2009
SC,16.9,2009
SD,13.6,2009
TN,16.7,2009
TX,18.4,2009
UT,10,2009
VT,10.8,2009
VA,10.7,2009
WA,11.6,2009
WV,16.8,2009
WI,10.1,2009
WY,9.6,2009
AL,14.3,2008
AK,8.2,2008
AZ,18,2008
AR,15.3,2008
CA,14.6,2008
CO,11,2008
CT,8.1,2008
DE,9.6,2008
DC,16.5,2008
FL,13.1,2008
GA,15.5,2008
HI,9.9,2008
ID,12.2,2008
IL,12.3,2008
IN,14.3,2008
IA,9.5,2008
KS,12.7,2008
KY,17.1,2008
LA,18.2,2008
ME,12,2008
MD,8.7,2008
MA,11.3,2008
MI,13,2008
MN,9.9,2008
MS,18.1,2008
MO,13.3,2008
MT,12.9,2008
NE,10.6,2008
NV,10.8,2008
NH,7,2008
NJ,9.2,2008
NM,19.3,2008
NY,14.2,2008
NC,13.9,2008
ND,11.8,2008
OH,13.7,2008
OK,13.6,2008
OR,10.6,2008
PA,11,2008
RI,12.7,2008
SC,14,2008
SD,13.1,2008
TN,15,2008
TX,15.9,2008
UT,7.6,2008
VT,9,2008
VA,10.3,2008
WA,10.4,2008
WV,14.5,2008
WI,9.8,2008
WY,10.1,2008
AL,14.5,2007
AK,7.6,2007
AZ,14.3,2007
AR,13.8,2007
CA,12.7,2007
CO,9.8,2007
CT,8.9,2007
DE,9.3,2007
DC,18,2007
FL,12.5,2007
GA,13.6,2007
HI,7.5,2007
ID,9.9,2007
IL,10,2007
IN,11.8,2007
IA,8.9,2007
KS,11.7,2007
KY,15.5,2007
LA,16.1,2007
ME,10.9,2007
MD,8.8,2007
MA,11.2,2007
MI,10.8,2007
MN,9.3,2007
MS,22.6,2007
MO,12.8,2007
MT,13,2007
NE,9.9,2007
NV,9.7,2007
NH,5.8,2007
NJ,8.7,2007
NM,14,2007
NY,14.5,2007
NC,15.5,2007
ND,9.3,2007
OH,12.8,2007
OK,13.4,2007
OR,12.8,2007
PA,10.4,2007
RI,9.5,2007
SC,14.1,2007
SD,9.4,2007
TN,14.8,2007
TX,16.5,2007
UT,9.6,2007
VT,9.9,2007
VA,8.6,2007
WA,10.2,2007
WV,14.8,2007
WI,11,2007
WY,10.9,2007
AL,14.3,2006
AK,8.9,2006
AZ,14.4,2006
AR,17.7,2006
CA,12.2,2006
CO,9.7,2006
CT,8,2006
DE,9.3,2006
DC,18.3,2006
FL,11.5,2006
GA,12.6,2006
HI,9.2,2006
ID,9.5,2006
IL,10.6,2006
IN,10.6,2006
IA,10.3,2006
KS,12.8,2006
KY,16.8,2006
LA,17,2006
ME,10.2,2006
MD,8.4,2006
MA,12,2006
MI,13.3,2006
MN,8.2,2006
MS,20.6,2006
MO,11.4,2006
MT,13.5,2006
NE,10.2,2006
NV,9.5,2006
NH,5.4,2006
NJ,8.8,2006
NM,16.9,2006
NY,14,2006
NC,13.8,2006
ND,11.4,2006
OH,12.1,2006
OK,15.2,2006
OR,11.8,2006
PA,11.3,2006
RI,10.5,2006
SC,11.2,2006
SD,10.7,2006
